Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
154.0,Café Molido Torrado Suave Bonafide Sensaciones 250 Gr,Cafe Molido Torrado Suave Bonafide Sensaciones 250 Gr,Neuquén,Patagonia,Infusiones,7792360002123,Bonafide,Café
230.0,Café Selección Arlistán 100 Gr,Cafe Seleccion Arlistan 100 Gr,Neuquén,Patagonia,Infusiones,7790070936493,Arlistán,Café
92.0,Caldo de Carne con Recetas Knorr 12 Un,Caldo de Carne con Recetas Knorr 12 Un,Neuquén,Patagonia,"Sopas, Caldos y Puré",7794000597532,Knorr,Caldos
64.0,Caldo de Carne Wilde 12 Un 114 Gr,Caldo de Carne Wilde 12 Un 114 Gr,Neuquén,Patagonia,"Sopas, Caldos y Puré",7794000597747,Wilde,Caldos
75.0,Caldo de Gallina con Recetas Knorr 12 Un,Caldo de Gallina con Recetas Knorr 12 Un,Neuquén,Patagonia,"Sopas, Caldos y Puré",7794000597525,Knorr,Caldos
91.0,Caldo de Gallina Maggi 12 Un,Caldo de Gallina Maggi 12 Un,Neuquén,Patagonia,"Sopas, Caldos y Puré",7891000105450,Maggi,Caldos
92.0,Caldo de Verduras con Recetas Knorr 12 Un,Caldo de Verduras con Recetas Knorr 12 Un,Neuquén,Patagonia,"Sopas, Caldos y Puré",7794000597518,Knorr,Caldos
91.0,Caldo de Verduras Maggi 12 Un,Caldo de Verduras Maggi 12 Un,Neuquén,Patagonia,"Sopas, Caldos y Puré",7891000105412,Maggi,Caldos
225.0,Capellettis Relleno Verdura con Vitamina E Giacomo Capelettini 500 Gr,Capellettis Relleno Verdura con Vitamina E Giacomo Capelettini 500 Gr,Neuquén,Patagonia,Pastas y Tapas,7792390620120,Giacomo,Pastas Rellenas
91.0,Caramelo Masticable Pico Dulce 150 Gr,Caramelo Masticable Pico Dulce 150 Gr,Neuquén,Patagonia,Golosinas,7792860007963,Pico Dulce,Caramelos
114.0,Caramelos Masticable Surtidos Mogul 150 Gr,Caramelos Masticable Surtidos Mogul 150 Gr,Neuquén,Patagonia,Golosinas,7790580101107,Mogul,Caramelos
245.0,Caramelos Masticables Pico Dulce 500 Gr,Caramelos Masticables Pico Dulce 500 Gr,Neuquén,Patagonia,Golosinas,7792860008007,Pico Dulce,Caramelos
109.0,Caramelos Rellenos Frutal Arcor 150 Gr,Caramelos Rellenos Frutal Arcor 150 Gr,Neuquén,Patagonia,Golosinas,7790580470500,Arcor,Caramelos
151.0,Caramelos Super acidos Lipo 150 Gr,Caramelos Super acidos Lipo 150 Gr,Neuquén,Patagonia,Golosinas,7793024000295,Lipo,Caramelos
511.0,Caramelos Surtidos Palitos de la Selva 600 Gr,Caramelos Surtidos Palitos de la Selva 600 Gr,Neuquén,Patagonia,Golosinas,7622210661432,Palitos de la Selva,Caramelos
549.0,Cartuchos Gillette Mach 3 Turbo 2 Un,Cartuchos Gillette Mach 3 Turbo 2 Un,Neuquén,Patagonia,Cuidado Facial,3014260275143,Gillette,Afeitado
189.0,Cebo Cucarachicida Raid 6 Un,Cebo Cucarachicida Raid 6 Un,Neuquén,Patagonia,Insecticidas,7790520986771,Raid,Cucarachas
329.0,Cepillo Classic Suave Plano Gum 311 1 Un,Cepillo Classic Suave Plano Gum 311 1 Un,Neuquén,Patagonia,Cuidado Oral,70942003117,Gum,Cepillos Dentales
181.0,Cepillo Dental Colgate 1 Un,Cepillo Dental Colgate 1 Un,Neuquén,Patagonia,Cuidado Oral,7891024116128,Colgate,Cepillos Dentales
97.0,Cepillo Dental Colgate Extra Clean 1 Un,Cepillo Dental Colgate Extra Clean 1 Un,Neuquén,Patagonia,Cuidado Oral,5900273001566,Colgate,Cepillos Dentales
105.0,Cepillo Dental Doctor Kolynos 2 Un,Cepillo Dental Doctor Kolynos 2 Un,Neuquén,Patagonia,Cuidado Oral,7891528091716,Kolynos,Cepillos Dentales
84.0,Cepillo Dental Oral B Classic 1 Un,Cepillo Dental Oral B Classic 1 Un,Neuquén,Patagonia,Cuidado Oral,7702018652372,Oral B,Cepillos Dentales
209.0,Cepillo Zigzag Suave Colgate 2 Un,Cepillo Zigzag Suave Colgate 2 Un,Neuquén,Patagonia,Cuidado Oral,7509546012100,Colgate,Cepillos Dentales
178.0,Cereal Aros Froot Loops 195 Gr,Cereal Aros Froot Loops 195 Gr,Neuquén,Patagonia,Cereales,7793306000401,Froot Loops,Cereales
151.0,Cereal Fibras Ser 200 Gr,Cereal Fibras Ser 200 Gr,Neuquén,Patagonia,Cereales,7790040117044,Ser,Cereales
159.0,Cereal Infantil Multicereal con Hierro Nestum 200 Gr,Cereal Infantil Multicereal con Hierro Nestum 200 Gr,Neuquén,Patagonia,Alimentación Infantil,7613034680778,Nestum,Papillas y Alimentos Infantiles
287.0,Cereal Infantil Multicereal con Hierro Nestum Nestlé 500 Gr,Cereal Infantil Multicereal con Hierro Nestum Nestle 500 Gr,Neuquén,Patagonia,Alimentación Infantil,7613034682451,Nestum,Papillas y Alimentos Infantiles
239.0,Cereales Chocolate Nesquik 230 Gr,Cereales Chocolate Nesquik 230 Gr,Neuquén,Patagonia,Cereales,7613034413154,Nesquik,Cereales
166.0,Cereales con Pasas Granix Fibra Total 400 Gr,Cereales con Pasas Granix Fibra Total 400 Gr,Neuquén,Patagonia,Cereales,7790045000778,Granix,Cereales
245.0,Cereales Integrales con forma de Frutas Trix 230 Gr,Cereales Integrales con forma de Frutas Trix 230 Gr,Neuquén,Patagonia,Cereales,7613034412904,Trix,Cereales
140.0,Cerveza Amber Lager Imperial 500 Cc,Cerveza Amber Lager Imperial 500 Cc,Neuquén,Patagonia,Cerveza,7793147570521,Imperial,Rubias
95.0,Cerveza en Lata Amstel 473 Cc,Cerveza en Lata Amstel 473 Cc,Neuquén,Patagonia,Cerveza,7793147000882,Amstel,Rubias
425.0,Cerveza en Lata Amstel 473 Ml,Cerveza en Lata Amstel 473 Ml,Neuquén,Patagonia,Cerveza,7793147000936,Amstel,Rubias
80.0,Cerveza Rubia 1890 en Lata Quilmes 473 Cc,Cerveza Rubia 1890 en Lata Quilmes 473 Cc,Neuquén,Patagonia,Cerveza,7792798001262,Quilmes,Rubias
150.0,Cerveza Rubia Amstel 1 Lt,Cerveza Rubia Amstel 1 Lt,Neuquén,Patagonia,Cerveza,7793147000875,Amstel,Rubias
160.0,Cerveza Rubia Andes Origen 1 Lt,Cerveza Rubia Andes Origen 1 Lt,Neuquén,Patagonia,Cerveza,7792798002115,Andes,Rubias
231.0,Cerveza Rubia Descartable Heineken 1 Lt,Cerveza Rubia Descartable Heineken 1 Lt,Neuquén,Patagonia,Cerveza,7793147000905,Heineken,Rubias
50.0,Cerveza Rubia en Lata Brahma 354 Cc,Cerveza Rubia en Lata Brahma 354 Cc,Neuquén,Patagonia,Cerveza,7792798005871,Brahma,Rubias
70.0,Cerveza Rubia en Lata Brahma 473 Cc,Cerveza Rubia en Lata Brahma 473 Cc,Neuquén,Patagonia,Cerveza,7792798005888,Brahma,Rubias
86.0,Cerveza Rubia en Lata Imperial Lager 473 Cc,Cerveza Rubia en Lata Imperial Lager 473 Cc,Neuquén,Patagonia,Cerveza,7793147000752,Imperial,Rubias
60.0,Cerveza Rubia en Lata Isenbeck 473 Cc,Cerveza Rubia en Lata Isenbeck 473 Cc,Neuquén,Patagonia,Cerveza,7795697611167,Isenbeck,Rubias
75.0,Cerveza Rubia en Lata Quilmes 473 Cc,Cerveza Rubia en Lata Quilmes 473 Cc,Neuquén,Patagonia,Cerveza,7792798012923,Quilmes,Rubias
70.0,Cerveza Rubia en Lata Schneider 473 Cc,Cerveza Rubia en Lata Schneider 473 Cc,Neuquén,Patagonia,Cerveza,7793147118860,Schneider,Rubias
103.0,Cerveza Rubia en Lata Stella Artois 473 Cc,Cerveza Rubia en Lata Stella Artois 473 Cc,Neuquén,Patagonia,Cerveza,7792798001293,Stella Artois,Rubias
95.0,Cerveza Rubia en Lata Warsteiner 473 Cc,Cerveza Rubia en Lata Warsteiner 473 Cc,Neuquén,Patagonia,Cerveza,7795697612133,Warsteiner,Rubias
35.0,Cerveza Rubia en Porron Quilmes 355 Cc,Cerveza Rubia en Porron Quilmes 355 Cc,Neuquén,Patagonia,Cerveza,7792798007547,Quilmes,Rubias
90.0,Cerveza Rubia Isenbeck 970 Cc,Cerveza Rubia Isenbeck 970 Cc,Neuquén,Patagonia,Cerveza,7795697001708,Isenbeck,Rubias
82.0,Cerveza Rubia Lager en Lata Budweiser 473 Cc,Cerveza Rubia Lager en Lata Budweiser 473 Cc,Neuquén,Patagonia,Cerveza,7793147118822,Budweiser,Rubias
120.0,Cerveza Rubia Lieber sin Alcohol Quilmes 1 Lt,Cerveza Rubia Lieber sin Alcohol Quilmes 1 Lt,Neuquén,Patagonia,Cerveza,7792798007431,Quilmes,Sin alcohol
98.0,Cerveza Rubia Palermo 1 Lt,Cerveza Rubia Palermo 1 Lt,Neuquén,Patagonia,Cerveza,7793147001179,Palermo,Rubias
121.0,Cerveza Rubia Quilmes Cristal 970 Cc,Cerveza Rubia Quilmes Cristal 970 Cc,Neuquén,Patagonia,Cerveza,7792798011919,Quilmes,Rubias
137.0,Cerveza Rubia Retornable Budweiser 1 Lt,Cerveza Rubia Retornable Budweiser 1 Lt,Neuquén,Patagonia,Cerveza,7793147001056,Budweiser,Rubias
171.0,Cerveza Rubia Retornable Heineken 1 Lt,Cerveza Rubia Retornable Heineken 1 Lt,Neuquén,Patagonia,Cerveza,7793147000899,Heineken,Rubias
120.0,Cerveza Rubia Retornable Schneider 1 Lt,Cerveza Rubia Retornable Schneider 1 Lt,Neuquén,Patagonia,Cerveza,7793147001025,Schneider,Rubias
172.0,Cerveza Rubia Stella Artois 970 Cc,Cerveza Rubia Stella Artois 970 Cc,Neuquén,Patagonia,Cerveza,7792798006199,Stella Artois,Rubias
117.0,Chizitos Queso Cheetos 165 Gr,Chizitos Queso Cheetos 165 Gr,Neuquén,Patagonia,Snacks,7790310006894,Cheetos,Mani/Palitos de Maíz/Palitos Salados
89.0,Choclo Amarillo Cremoso en Lata Arcor 300 Gr,Choclo Amarillo Cremoso en Lata Arcor 300 Gr,Neuquén,Patagonia,Conservas,7790580980801,Arcor,Conservas de Verdura y Legumbres
74.0,Choclo Amarillo Cumana 350 Gr,Choclo Amarillo Cumana 350 Gr,Neuquén,Patagonia,Conservas,7791885001383,Cumana,Conservas de Verdura y Legumbres
91.0,Choclo Amarillo en Granos en Lata Arcor 300 Gr,Choclo Amarillo en Granos en Lata Arcor 300 Gr,Neuquén,Patagonia,Conservas,7790580980009,Arcor,Conservas de Verdura y Legumbres
69.0,Choclo Amarillo Enteros Inalpa 350 Gr,Choclo Amarillo Enteros Inalpa 350 Gr,Neuquén,Patagonia,Conservas,7792350004540,Inalpa,Conservas de Verdura y Legumbres
99.0,Choclo Cremoso Amarillo en Lata La Campagnola 300 Gr,Choclo Cremoso Amarillo en Lata La Campagnola 300 Gr,Neuquén,Patagonia,Conservas,7793360984907,La Campagnola,Conservas de Verdura y Legumbres
59.0,Choclo Cremoso Noel 300 Gr,Choclo Cremoso Noel 300 Gr,Neuquén,Patagonia,Conservas,7795184983708,Noel,Conservas de Verdura y Legumbres
