Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
57.25,Arroz Largo Fino Primor 1 Kg,Arroz Largo Fino Primor 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7794870001344,Primor,Arroz Largo
89.0,Arroz Parboil Gallo Oro 1 Kg,Arroz Parboil Gallo Oro 1 Kg,Misiones,NEA-NOA,Arroz y Legumbres,7790070416179,Gallo,Arroz Parboil
44.0,Arroz Parbolizado Dos Hermanos 500 Gr,Arroz Parbolizado Dos Hermanos 500 Gr,Misiones,NEA-NOA,Arroz y Legumbres,7790503001996,Dos Hermanos,Arroz Parboil
46.55,Arroz Parbolizado Gallo 500 Gr,Arroz Parbolizado Gallo 500 Gr,Misiones,NEA-NOA,Arroz y Legumbres,7790070411839,Gallo,Arroz Parboil
40.0,Arroz Parbolizado Lucchetti 500 Gr,Arroz Parbolizado Lucchetti 500 Gr,Misiones,NEA-NOA,Arroz y Legumbres,7790070411822,Lucchetti,Arroz Parboil
199.0,Atún en Lomitos al Natural La Campagnola 170 Gr,Atun en Lomitos al Natural La Campagnola 170 Gr,Misiones,NEA-NOA,Conservas,7793360005084,La Campagnola,Conservas de Pescado
210.0,Atún en Lomitos en Aceite La Campagnola 170 Gr,Atun en Lomitos en Aceite La Campagnola 170 Gr,Misiones,NEA-NOA,Conservas,7793360005060,La Campagnola,Conservas de Pescado
237.0,Autobrillo Pisos Incoloro Blem 900 Cc,Autobrillo Pisos Incoloro Blem 900 Cc,Misiones,NEA-NOA,Limpieza Piso y Muebles,7790463000039,Blem,Ceras y Autobrillos
132.0,Avena Instantánea Fortificada Quaker 400 Gr,Avena Instantanea Fortificada Quaker 400 Gr,Misiones,NEA-NOA,Cereales,7792170000647,Quaker,Cereales
50.0,Azúcar Domino 1 Kg,Azucar Domino 1 Kg,Misiones,NEA-NOA,Azúcar y Edulcorantes,7792878000017,Domino,Azúcar
56.0,Azúcar Molida Clasica Ledesma 1 Kg,Azucar Molida Clasica Ledesma 1 Kg,Misiones,NEA-NOA,Azúcar y Edulcorantes,7792540260138,Ledesma,Azúcar
50.0,Azúcar Tipo A Chango 1 Kg,Azucar Tipo A Chango 1 Kg,Misiones,NEA-NOA,Azúcar y Edulcorantes,7791100000481,Chango,Azúcar
76.0,Ballerina Paño Multiuso Baño Cif 1 Un,Ballerina Paño Multiuso Baño Cif 1 Un,Misiones,NEA-NOA,Accesorios de Limpieza,7791290786523,Cif,Trapos y Paños
65.0,Bebida Isotónica Mountain Blast Powerade 500 Ml,Bebida Isotonica Mountain Blast Powerade 500 Ml,Misiones,NEA-NOA,Isotónicas y Energizantes,7790895640025,Powerade,Isotónicas
113.0,Bocaditos de Cereales Rellenos con Avellana Granix 180 Gr,Bocaditos de Cereales Rellenos con Avellana Granix 180 Gr,Misiones,NEA-NOA,Cereales,7791078022713,Granix,Cereales
250.0,Bocaditos Rebozados de Pollo Granja del Sol 400 Gr,Bocaditos Rebozados de Pollo Granja del Sol 400 Gr,Misiones,NEA-NOA,Prefritos,7790070016300,Granja del Sol,Prefritos
299.0,Bombon Frigor Chomp 180 Gr,Bombon Frigor Chomp 180 Gr,Misiones,NEA-NOA,Helados y Postres,7613034790156,Frigor,Helados
230.0,Brocoli Congelado Granja Del Sol 400 Gr,Brocoli Congelado Granja Del Sol 400 Gr,Misiones,NEA-NOA,Vegetales,7790070032706,Granja del Sol,Vegetales
79.0,Cacao en Polvo Arcor 360 Gr,Cacao en Polvo Arcor 360 Gr,Misiones,NEA-NOA,Infusiones,7790580402907,Arcor,Cacao
115.0,Cacao en Polvo con Vitamina Toddy 360 Gr,Cacao en Polvo con Vitamina Toddy 360 Gr,Misiones,NEA-NOA,Infusiones,7798153810500,Toddy,Cacao
110.0,Cacao en Polvo Fortificado Plus Chocolino 360 Gr,Cacao en Polvo Fortificado Plus Chocolino 360 Gr,Misiones,NEA-NOA,Infusiones,7790150830888,Chocolino,Cacao
150.0,Cacao en Polvo Instantáneo Nesquik 360 Gr,Cacao en Polvo Instantaneo Nesquik 360 Gr,Misiones,NEA-NOA,Infusiones,7613034449993,Nesquik,Cacao
318.0,Cacao en Polvo Instantáneo Nesquik 800 Gr,Cacao en Polvo Instantaneo Nesquik 800 Gr,Misiones,NEA-NOA,Infusiones,7613034453600,Nesquik,Cacao
126.0,Café en Saquitos La Virginia 20 Un,Cafe en Saquitos La Virginia 20 Un,Misiones,NEA-NOA,Infusiones,7790150079973,La Virginia,Café
379.0,Café Instantáneo NesCafé Dolca 170 Gr,Cafe Instantaneo NesCafe Dolca 170 Gr,Misiones,NEA-NOA,Infusiones,7613035068391,Nescafe,Café
217.0,Café Instantáneo Selección Arlistán 170 Gr,Cafe Instantaneo Seleccion Arlistan 170 Gr,Misiones,NEA-NOA,Infusiones,7790070936479,Arlistán,Café
244.0,Café Instantáneo Torrado Clásico Equilibrado La Virginia 170 Gr,Cafe Instantaneo Torrado Clasico Equilibrado La Virginia 170 Gr,Misiones,NEA-NOA,Infusiones,7790150100356,La Virginia,Café
432.0,Café Molido Clásico La Morenita 1 Kg,Cafe Molido Clasico La Morenita 1 Kg,Misiones,NEA-NOA,Infusiones,7790170901926,La Morenita,Café
115.0,Café Molido Torrado Clásico Equilibrado La Morenita 250 Gr,Cafe Molido Torrado Clasico Equilibrado La Morenita 250 Gr,Misiones,NEA-NOA,Infusiones,7790170901872,La Morenita,Café
229.0,Café Molido Torrado Clásico Equilibrado La Morenita 500 Gr,Cafe Molido Torrado Clasico Equilibrado La Morenita 500 Gr,Misiones,NEA-NOA,Infusiones,7790170901902,La Morenita,Café
246.0,Café Molido Torrado Clásico Equilibrado La Virginia 500 Gr,Cafe Molido Torrado Clasico Equilibrado La Virginia 500 Gr,Misiones,NEA-NOA,Infusiones,7790150006153,La Virginia,Café
134.0,Café Molido Torrado en Bolsa Cabrales 250 Gr,Cafe Molido Torrado en Bolsa Cabrales 250 Gr,Misiones,NEA-NOA,Infusiones,7790550000157,Cabrales,Café
